fecha,autor_portada,nombre portada,autor_critica,nombre_criticaurl,url_imagen,news_keywords,keywords,descripcion,id
January 32011,missing,,,,"https://media.newyorker.com/photos/590950ca6552fa0be682b9f9/master/w_280,c_limit/2011_01_03.jpg",missing,missing,missing,missing
January 102011,missing,,,,"https://media.newyorker.com/photos/590950cc6552fa0be682ba03/master/w_280,c_limit/2011_01_10.jpg",missing,missing,missing,missing
January 172011,missing,,,,"https://media.newyorker.com/photos/590950cc2179605b11ad2d0e/master/w_280,c_limit/2011_01_17.jpg",missing,missing,missing,missing
January 242011,missing,,,,"https://media.newyorker.com/photos/590950ce019dfc3494e9d714/master/w_280,c_limit/2011_01_24.jpg",missing,missing,missing,missing
January 312011,missing,,,,"https://media.newyorker.com/photos/590950d02179605b11ad2d1c/master/w_280,c_limit/2011_01_31.jpg",missing,missing,missing,missing
February 72011,missing,,,,"https://media.newyorker.com/photos/590950d1c14b3c606c103564/master/w_280,c_limit/2011_02_07.jpg",missing,missing,missing,missing
February 14 & 212011,missing,,,,"https://media.newyorker.com/photos/590950d21c7a8e33fb38a074/master/w_280,c_limit/2011_02_14.jpg",missing,missing,missing,missing
February 282011,missing,,,,"https://media.newyorker.com/photos/590950d4ebe912338a372560/master/w_280,c_limit/2011_02_28.jpg",missing,missing,missing,missing
March 72011,missing,,,,"https://media.newyorker.com/photos/590950d5019dfc3494e9d736/master/w_280,c_limit/2011_03_07.jpg",missing,missing,missing,missing
March 142011,missing,,,,"https://media.newyorker.com/photos/590950d6019dfc3494e9d73b/master/w_280,c_limit/2011_03_14.jpg",missing,missing,missing,missing
March 212011,missing,,,,"https://media.newyorker.com/photos/590950d76552fa0be682ba2d/master/w_280,c_limit/2011_03_21.jpg",missing,missing,missing,missing
March 282011,Christoph Niemann.,,Samantha Henig,,"https://media.newyorker.com/photos/590950d86552fa0be682ba33/master/w_280,c_limit/2011_03_28.jpg","Earthquakes,Japan,_wordpress_id:2369061","Earthquakes,Japan,_wordpress_id:2369061","“It’s very tricky to do any drawing of a tragedy,” said Christoph Niemann, who created “Dark Spring,” this week’s cover. When asked to come up …",5913634dbf504e141f4084f0
April 42011,Edward Koren.,,Emily Kan,,"https://media.newyorker.com/photos/590950ca6552fa0be682b9f7/master/w_280,c_limit/2011_04_04.jpg",_wordpress_id:2370421,_wordpress_id:2370421,"Edward Koren, a longtime New Yorker artist, asked us to arrange for him to visit the driver’s compartment of a subway car so that he could accurately …",591363618653674ad013d485
April 112011,Bruce McCall.,,Emily Kan,,"https://media.newyorker.com/photos/590950ccebe912338a37253e/master/w_280,c_limit/2011_04_11.jpg",_wordpress_id:2371651,_wordpress_id:2371651,"When we asked Bruce McCall for an idea for a golf cover, he came up blank. “Golf is a hard subject because it’s a solitary person in a plane of space. …",5913638b003d2c13d3ad49b7
April 182011,Jacques de Loustal.,,Emily Kan,,"https://media.newyorker.com/photos/590950ccc14b3c606c103552/master/w_280,c_limit/2011_04_18.jpg",_wordpress_id:2373281,_wordpress_id:2373281,"“Drawing While Waiting,” the cover of this week’s Journeys Issue, by the Parisian artist Jacques de Loustal, was inspired by the Amalfi Coast of …",591363ac76e7dd159bc69548
April 252011,Maira Kalman.,,Emily Kan,,"https://media.newyorker.com/photos/590950ce6552fa0be682ba0b/master/w_280,c_limit/2011_04_25.jpg",_wordpress_id:2374271,_wordpress_id:2374271,"This week’s cover, by Maira Kalman, is called “Everywhere I Look I See Hats.” Kalman wears many hats herself. The Easter cover arrives in the middle …",591363a8bf504e141f408500
May 22011,Barry Blitt.,,Emily Kan,,"https://media.newyorker.com/photos/590950cf1c7a8e33fb38a062/master/w_280,c_limit/2011_05_02.jpg","Barry Blitt,Royal Wedding,_wordpress_id:2375271","Barry Blitt,Royal Wedding,_wordpress_id:2375271","Barry Blitt, the artist of this week’s cover, had a number of ideas for drawings about the upcoming royal nuptials. “I had Prince William and Kate …",591363db003d2c13d3ad49ce
May 92011,Bruce McCall.,,Emily Kan,,"https://media.newyorker.com/photos/590950d1ebe912338a372552/master/w_280,c_limit/2011_05_09.jpg","Bruce McCall,Mother&#039;s Day,_wordpress_id:2378671","Bruce McCall,Mother&#039;s Day,_wordpress_id:2378671","Bruce McCall will not be celebrating Mother’s Day this weekend. “I don’t believe in Mother’s Day—I hate it,” explained McCall, whose cover was …",5913640db7bad60920ded78f
May 162011,Gürbüz Doğan Ekşioğlu.,,Emily Kan,,"https://media.newyorker.com/photos/590950d1ebe912338a372557/master/w_280,c_limit/2011_05_16.jpg","9/11,Osama bin Laden,_wordpress_id:2379321","9/11,Osama bin Laden,_wordpress_id:2379321","When Gürbüz Doğan Ekşioğlu woke up on Monday morning, in Istanbul, he turned on the TV news, as is his daily routine. As soon as he found …",59136413003d2c13d3ad49dd
May 232011,Eric Drooker.,,Emily Kan,,"https://media.newyorker.com/photos/590950d3019dfc3494e9d730/master/w_280,c_limit/2011_05_23.jpg","New York Public Library,_wordpress_id:2380471","New York Public Library,_wordpress_id:2380471","Eric Drooker, who drew this week’s cover, says that some of his earliest memories are of his mother taking him to the New York Public Library’s …",5913642f8653674ad013d4ba
May 302011,Peter de Sève.,,Emily Kan,,"https://media.newyorker.com/photos/590950d5019dfc3494e9d737/master/w_280,c_limit/2011_05_30.jpg",_wordpress_id:2381741,_wordpress_id:2381741,"Peter de Sève is always on the lookout “for scenes that are classically, quintessentially New York,” he said. The Grand Army Plaza Greenmarket in …",5913645e5406445d1ff856f2
June 62011,Bruce McCall.,,Emily Kan,,"https://media.newyorker.com/photos/590950d71c7a8e33fb38a08e/master/w_280,c_limit/2011_06_06.jpg","Michael Bloomberg,_wordpress_id:2382881","Michael Bloomberg,_wordpress_id:2382881","“The smoking ban in the parks is really ridiculous,” says Bruce McCall, who drew this week’s cover. “I smoke the occasional cigar, so I’m a real …",59136476bf504e141f408540
June 13 & 202011,David Hockney.,,Emily Kan,,"https://media.newyorker.com/photos/590950da6552fa0be682ba3d/master/w_280,c_limit/2011_06_13.jpg",_wordpress_id:2383951,_wordpress_id:2383951,"This is the third New Yorker cover that David Hockney has drawn on an Apple handheld device. He used to use his iPhone, but he finds the iPad “especially…",59136497003d2c13d3ad4a05
June 272011,John Cuneo.,,Emily Kan,,"https://media.newyorker.com/photos/590950dc2179605b11ad2d50/master/w_280,c_limit/2011_06_27.jpg",_wordpress_id:2387071,_wordpress_id:2387071,"When asked about his process for drawing covers, John Cuneo said, “I try to keep in mind current political events. And then there’s that other …",591364ec5406445d1ff85713
July 42011,George Booth.,,Emily Kan,,"https://media.newyorker.com/photos/590950dc019dfc3494e9d754/master/w_280,c_limit/2011_07_04.jpg","Apartments,Dogs,Fourth of July,George Booth,_wordpress_id:2388651","Apartments,Dogs,Fourth of July,George Booth,_wordpress_id:2388651","George Booth says that his first step in coming up with an idea is to draw a dog: It’s a mathematical fact! How do you solve a problem? Well, first …",591365038653674ad013d4f0
July 11 & 182011,Mark Ulriksen.,,Emily Kan,,"https://media.newyorker.com/photos/590950cac14b3c606c103549/master/w_280,c_limit/2011_07_11.jpg",_wordpress_id:2389741,_wordpress_id:2389741,"“The thing I love about New Yorker covers is that some are about seasons, not just current events,” says Mark Ulriksen, this week’s cover artist. …",5913652576e7dd159bc6959a
July 252011,Barry Blitt.,,Emily Kan,,"https://media.newyorker.com/photos/590950ca019dfc3494e9d705/master/w_280,c_limit/2011_07_25.jpg","_wordpress_id:2391821,Barry Blitt,Gay Marriage","_wordpress_id:2391821,Barry Blitt,Gay Marriage",Barry Blitt says that his challenge was “to depict same-sex weddings in a new or interesting way.” I started scribbling. Two Hell’s Angels-types on…,5913654d003d2c13d3ad4a3b
August 12011,Ian Falconer.,,Emily Kan,,"https://media.newyorker.com/photos/590950cbc14b3c606c10354c/master/w_280,c_limit/2011_08_01.jpg",_wordpress_id:2393971,_wordpress_id:2393971,"This week’s cover is No. 29 for Ian Falconer, a New Yorker cover artist since 1996. How does he do it? “I don’t know how I get ideas for images; they…",591365975406445d1ff85738
August 82011,Frank Viva.,,Emily Kan,,"https://media.newyorker.com/photos/590950cc019dfc3494e9d70b/master/w_280,c_limit/2011_08_08.jpg","Central Park,_wordpress_id:2395401","Central Park,_wordpress_id:2395401","This week’s cover grew out of the Canadian artist Frank Viva’s most recent trip to New York City. Walking along Fifth Avenue, he passed “a ton of …",591365a6b7bad60920ded7ef
August 152011,Christoph Niemann.,,Kate Welsh,,"https://media.newyorker.com/photos/590950cc6552fa0be682ba05/master/w_280,c_limit/2011_08_15.jpg","Christoph Niemann,Stock Market,_wordpress_id:2396491","Christoph Niemann,Stock Market,_wordpress_id:2396491","“The problem with doing a last-minute New Yorker cover,” says Christoph Niemann, the artist behind this week’s late-breaking “S.O.S.,” “is that…",591365ca8653674ad013d522
August 292011,Istvan Banyai.,,Emily Kan,,"https://media.newyorker.com/photos/590950cd2179605b11ad2d12/master/w_280,c_limit/2011_08_29.jpg",_wordpress_id:2399781,_wordpress_id:2399781,"Istvan Banyai says that seeing a big expanse of water is “like looking at the color green. It’s soothing, calming, relaxing. It brings you positive …",5913661d5406445d1ff8575a
September 52011,Eric Drooker.,,Mina Kaneko,,"https://media.newyorker.com/photos/590950ce2179605b11ad2d14/master/w_280,c_limit/2011_09_05.jpg","Coney Island,Eric Drooker,_wordpress_id:2402061","Coney Island,Eric Drooker,_wordpress_id:2402061","On Friday, Coney Island residents were ordered to evacuate ahead of Hurricane Irene. On Saturday, the city’s subway system shut down. And on Monday, as …",59136641003d2c13d3ad4a79
September 122011,Ana Juan.,,Françoise Mouly,,"https://media.newyorker.com/photos/590950cec14b3c606c10355c/master/w_280,c_limit/2011_09_12.jpg","September 11th,_wordpress_id:2403831","September 11th,_wordpress_id:2403831","“I have to brainstorm while grieving,” says Ana Juan, whose cover, “Reflections,” commemorates the tenth anniversary of 9/11. “Since I’m an …",5924e1e570cb224108d164ca
September 192011,missing,,,,"https://media.newyorker.com/photos/590950cf6552fa0be682ba11/master/w_280,c_limit/2011_09_19.jpg",missing,missing,missing,missing
September 262011,Bruce Eric Kaplan.,,Mina Kaneko,,"https://media.newyorker.com/photos/590950d01c7a8e33fb38a067/master/w_280,c_limit/2011_09_26.jpg",_wordpress_id:2407201,_wordpress_id:2407201,"Bruce Eric Kaplan has a four-year-old daughter. “This happens every day: my wife wants her to wear dresses, but she’ll only wear these same two ugly …",5924bf1a53825d3e461cc3c1
