fecha,autor_critica,autor_portada,titulo_portada,url,url_imagen,news_keywords,keywords,descripcion,id
"January 3, 2011","“Happy New Decade,” by Richard McGuire.",missing,missing,missing,"https://media.newyorker.com/photos/590950ca6552fa0be682b9f9/master/w_280,c_limit/2011_01_03.jpg",missing,missing,missing,missing
"January 10, 2011","“Blizzard,” by Lorenzo Mattotti.",missing,missing,missing,"https://media.newyorker.com/photos/590950cc6552fa0be682ba03/master/w_280,c_limit/2011_01_10.jpg",missing,missing,missing,missing
"January 17, 2011","“Spiderward,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950cc2179605b11ad2d0e/master/w_280,c_limit/2011_01_17.jpg",missing,missing,missing,missing
"January 24, 2011","“Fifth Avenue and Forty-second Street,” by Jorge Colombo.",missing,missing,missing,"https://media.newyorker.com/photos/590950ce019dfc3494e9d714/master/w_280,c_limit/2011_01_24.jpg",missing,missing,missing,missing
"January 31, 2011","“Mental Landscape,” by Frank Viva.",missing,missing,missing,"https://media.newyorker.com/photos/590950d02179605b11ad2d1c/master/w_280,c_limit/2011_01_31.jpg",missing,missing,missing,missing
"February 7, 2011","“Bloom in Love,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950d1c14b3c606c103564/master/w_280,c_limit/2011_02_07.jpg",missing,missing,missing,missing
The Anniversary Issue,"“Eustace Tilley,” by Rea Irvin.",missing,missing,missing,"https://media.newyorker.com/photos/590950d21c7a8e33fb38a074/master/w_280,c_limit/2011_02_14.jpg",missing,missing,missing,missing
"February 28, 2011","“A Moment of Triumph,” by Ian Falconer.",missing,missing,missing,"https://media.newyorker.com/photos/590950d4ebe912338a372560/master/w_280,c_limit/2011_02_28.jpg",missing,missing,missing,missing
"March 7, 2011","“Shoes,” by David Hockney.",missing,missing,missing,"https://media.newyorker.com/photos/590950d5019dfc3494e9d736/master/w_280,c_limit/2011_03_07.jpg",missing,missing,missing,missing
"March 14, 2011","“Hope Is The Thing with Feathers,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950d6019dfc3494e9d73b/master/w_280,c_limit/2011_03_14.jpg",missing,missing,missing,missing
"March 21, 2011","“On His Way,” by J. J. Sempé.",missing,missing,missing,"https://media.newyorker.com/photos/590950d76552fa0be682ba2d/master/w_280,c_limit/2011_03_21.jpg",missing,missing,missing,missing
"March 28, 2011","“Dark Spring,” by Christoph Niemann.",,,http://www.newyorker.com/news/news-desk/cover-story-christoph-niemanns-nuclear-flowers,"https://media.newyorker.com/photos/590950d86552fa0be682ba33/master/w_280,c_limit/2011_03_28.jpg",,,,
"April 4, 2011","“In Transit,” by Edward Koren.",,,http://www.newyorker.com/news/news-desk/cover-story-subway-sleuthing,"https://media.newyorker.com/photos/590950ca6552fa0be682b9f7/master/w_280,c_limit/2011_04_04.jpg",,,,
"April 11, 2011","“My Best Shot,” by Bruce McCall.",,,http://www.newyorker.com/news/news-desk/cover-story-seeing-green,"https://media.newyorker.com/photos/590950ccebe912338a37253e/master/w_280,c_limit/2011_04_11.jpg",,,,
Journeys,"“Drawing While Waiting,” by Jacques de Loustal.",,,http://www.newyorker.com/news/news-desk/cover-story-sketching-while-driving,"https://media.newyorker.com/photos/590950ccc14b3c606c103552/master/w_280,c_limit/2011_04_18.jpg",,,,
"April 25, 2011","“Everywhere I Go I See Hats,” by Maira Kalman.",,,http://www.newyorker.com/news/news-desk/cover-story-hats-hats-hats,"https://media.newyorker.com/photos/590950ce6552fa0be682ba0b/master/w_280,c_limit/2011_04_25.jpg",,,,
"May 2, 2011","“Entourage,” by Barry Blitt.",,,http://www.newyorker.com/news/news-desk/cover-story-royals-in-bed,"https://media.newyorker.com/photos/590950cf1c7a8e33fb38a062/master/w_280,c_limit/2011_05_02.jpg",,,,
"May 9, 2011","“Super Mother’s Day,” by Bruce McCall.",,,http://www.newyorker.com/news/news-desk/cover-story-super-mothers-day,"https://media.newyorker.com/photos/590950d1ebe912338a372552/master/w_280,c_limit/2011_05_09.jpg",,,,
"May 16, 2011","“Rubbed Out,” by Gürbüz Doğan Ekşioğlu.",,,http://www.newyorker.com/news/news-desk/cover-story-erasing-osama,"https://media.newyorker.com/photos/590950d1ebe912338a372557/master/w_280,c_limit/2011_05_16.jpg",,,,
"May 23, 2011","“The Library: Roaring Into The Future,” by Eric Drooker.",,,http://www.newyorker.com/news/news-desk/cover-story-beasts-of-the-library,"https://media.newyorker.com/photos/590950d3019dfc3494e9d730/master/w_280,c_limit/2011_05_23.jpg",,,,
"May 30, 2011","“Small Growers,” by Peter de Sève.",,,http://www.newyorker.com/news/news-desk/cover-story-mushrooms-and-lobsters,"https://media.newyorker.com/photos/590950d5019dfc3494e9d737/master/w_280,c_limit/2011_05_30.jpg",,,,
"June 6, 2011","“Moral Guidance,” by Bruce McCall.",,,http://www.newyorker.com/news/news-desk/cover-story-insults-everywhere,"https://media.newyorker.com/photos/590950d71c7a8e33fb38a08e/master/w_280,c_limit/2011_06_06.jpg",,,,
Summer Fiction Issue,"“California Interiors,” by David Hockney.",,,http://www.newyorker.com/news/news-desk/cover-story-he-draw-on-ipad,"https://media.newyorker.com/photos/590950da6552fa0be682ba3d/master/w_280,c_limit/2011_06_13.jpg",,,,
"June 27, 2011","“Dog Meets Dog,” by John Cuneo.",,,http://www.newyorker.com/news/news-desk/cover-story-bring-in-the-dogs,"https://media.newyorker.com/photos/590950dc2179605b11ad2d50/master/w_280,c_limit/2011_06_27.jpg",,,,
"July 4, 2011","“Oh, Say, Can You See,” by George Booth.",,,http://www.newyorker.com/news/news-desk/cover-story-well-first-youve-got-a-dog,"https://media.newyorker.com/photos/590950dc019dfc3494e9d754/master/w_280,c_limit/2011_07_04.jpg",,,,
"July 11 & 18, 2011","“Birds of a Feather,” by Mark Ulriksen.",,,http://www.newyorker.com/news/news-desk/cover-story-this-is-not-your-beautiful-house,"https://media.newyorker.com/photos/590950cac14b3c606c103549/master/w_280,c_limit/2011_07_11.jpg",,,,
"July 25, 2011","“Wedding Season,” by Barry Blitt.",,,http://www.newyorker.com/news/news-desk/cover-story-the-aisle-of-manhattan,"https://media.newyorker.com/photos/590950ca019dfc3494e9d705/master/w_280,c_limit/2011_07_25.jpg",,,,
"August 1, 2011","“Forward Thinking,” by Ian Falconer.",,,http://www.newyorker.com/news/news-desk/cover-story-so-fran-drescher,"https://media.newyorker.com/photos/590950cbc14b3c606c10354c/master/w_280,c_limit/2011_08_01.jpg",,,,
"August 8, 2011","“Into the Green,” by Frank Viva.",,,http://www.newyorker.com/news/news-desk/cover-story-the-central-park-wall,"https://media.newyorker.com/photos/590950cc019dfc3494e9d70b/master/w_280,c_limit/2011_08_08.jpg",,,,
"August 15, 2011","“S.O.S.,” by Christoph Niemann.",,,http://www.newyorker.com/news/news-desk/cover-story-betting-on-art,"https://media.newyorker.com/photos/590950cc6552fa0be682ba05/master/w_280,c_limit/2011_08_15.jpg",,,,
"August 29, 2011","“On the Horizon,” by Istvan Banyai.",,,http://www.newyorker.com/news/news-desk/cover-story-blue-and-green,"https://media.newyorker.com/photos/590950cd2179605b11ad2d12/master/w_280,c_limit/2011_08_29.jpg",,,,
"September 5, 2011","“Coney Island Express,” by Eric Drooker.",,,http://www.newyorker.com/news/news-desk/cover-story-leaving-coney-island,"https://media.newyorker.com/photos/590950ce2179605b11ad2d14/master/w_280,c_limit/2011_09_05.jpg",,,,
After 9/11,"“Reflections,” by Ana Juan.",,,http://www.newyorker.com/news/news-desk/cover-story-ten-years-since-black-on-black,"https://media.newyorker.com/photos/590950cec14b3c606c10355c/master/w_280,c_limit/2011_09_12.jpg",,,,
"September 19, 2011","""Lowered Expectations,"" by David Macaulay.",missing,missing,missing,"https://media.newyorker.com/photos/590950cf6552fa0be682ba11/master/w_280,c_limit/2011_09_19.jpg",missing,missing,missing,missing
The Style Issue,"“No!,” by Bruce Eric Kaplan.",,,http://www.newyorker.com/news/news-desk/cover-story-fashion-ritual,"https://media.newyorker.com/photos/590950d01c7a8e33fb38a067/master/w_280,c_limit/2011_09_26.jpg",,,,
"October 3, 2011","“It’s a Helluva Town,” by Bruce Mccall.",,,http://www.newyorker.com/news/news-desk/cover-story-swimming-upstream,"https://media.newyorker.com/photos/590950d16552fa0be682ba19/master/w_280,c_limit/2011_10_03.jpg",,,,
The Money Issue,"“The City,” by Eric Drooker.",,,http://www.newyorker.com/news/news-desk/cover-story-maximizing-profit,"https://media.newyorker.com/photos/590950d11c7a8e33fb38a06e/master/w_280,c_limit/2011_10_10.jpg",,,,
"October 17, 2011","“The Book of Life,” by Barry Blitt.",,,http://www.newyorker.com/news/news-desk/cover-story-how-to-handle-your-apple-products,"https://media.newyorker.com/photos/590950d2019dfc3494e9d726/master/w_280,c_limit/2011_10_17.jpg",,,,
"October 24, 2011","“Fighting Back,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950d3ebe912338a37255b/master/w_280,c_limit/2011_10_24.jpg",missing,missing,missing,missing
The Cartoon Issue,"“Dîner à Deux,” by George Booth.",,,http://www.newyorker.com/culture/culture-desk/cover-story-one-spot-of-red,"https://media.newyorker.com/photos/590950d4019dfc3494e9d731/master/w_280,c_limit/2011_10_31.jpg",,,,
"November 7, 2011","“Open Season,” by Bruce Mccall.",,,http://www.newyorker.com/culture/culture-desk/cover-story-raining-tickets,"https://media.newyorker.com/photos/590950d4ebe912338a372564/master/w_280,c_limit/2011_11_07.jpg",,,,
"November 14, 2011","“Different Scales,” by J. J. Sempé.",,,http://www.newyorker.com/culture/culture-desk/cover-story-music-to-my-ears,"https://media.newyorker.com/photos/590950d5c14b3c606c103571/master/w_280,c_limit/2011_11_14.jpg",,,,
The Food Issue,"“Turkey Dinner,” by Wayne Thiebaud.",,,http://www.newyorker.com/culture/culture-desk/cover-story-dining-out,"https://media.newyorker.com/photos/590950d61c7a8e33fb38a084/master/w_280,c_limit/2011_11_21.jpg",,,,
"November 28, 2011","“Promised Land,” by Christoph Niemann.",,,http://www.newyorker.com/culture/culture-desk/cover-story-promised-land,"https://media.newyorker.com/photos/590950d66552fa0be682ba2a/master/w_280,c_limit/2011_11_28.jpg",,,,
"December 5, 2011","“Black Friday,” by Daniel Clowes.",,,http://www.newyorker.com/culture/culture-desk/cover-story-a-book-is-not-facebook,"https://media.newyorker.com/photos/590950d7c14b3c606c10357e/master/w_280,c_limit/2011_12_05.jpg",,,,
"December 12, 2011","“Subway Angel,” by Carter Goodrich.",,,http://www.newyorker.com/culture/culture-desk/cover-story-the-very-patient-subway-angel,"https://media.newyorker.com/photos/590950d86552fa0be682ba31/master/w_280,c_limit/2011_12_12.jpg",,,,
World Changers,"“Apparition,” by Eric Drooker.",,,http://www.newyorker.com/culture/culture-desk/cover-story-too-many-santas,"https://media.newyorker.com/photos/590950d9ebe912338a372574/master/w_280,c_limit/2011_12_19.jpg",,,,
